sembol,giris_tarihi,giris_fiyat,cikis_tarihi,cikis_fiyat,hedef,stop,sonuc,getiri_yuzde,olasilik
ODINE,2026-08-12,3310.0,2026-08-14,3104.905358295906,3674.5933299797193,3104.905358295906,STOP,-6.196212740304963,0.7580627740330449
TKFEN,2026-08-12,243.0,2026-08-13,232.1599585481524,273.88719250883213,232.1599585481524,STOP,-4.460922408167745,0.5965663728812918
BRYAT,2026-08-12,1741.0,2026-08-13,1677.1033621768647,1839.2342268810792,1677.1033621768647,STOP,-3.670111305177215,0.593960300353927
EFOR,2026-08-14,18.739999771118164,2026-08-17,17.478692087780473,21.13864989424973,17.478692087780473,STOP,-6.7305640274425205,0.6560236635349818
ESEN,2026-08-14,3.470000028610229,2026-08-17,3.646600416207569,3.646600416207569,3.381202176358236,HEDEF,5.08934830378287,0.5841149809767592
KLRHO,2026-08-14,80.3499984741211,2026-08-17,76.18759771685497,87.19138287473629,76.18759771685497,STOP,-5.180337070705409,0.5755430942492382
ODINE,2026-08-14,3260.0,2026-08-17,3038.5918650612657,3688.439173535,3038.5918650612657,STOP,-6.791660580942772,0.5551023215364321
FENER,2026-08-12,3.0899999141693115,2026-08-18,3.2780554809290003,3.2780554809290003,2.97581039593718,HEDEF,6.085940840883297,0.5814782972860904
BRSAN,2026-08-14,663.0,2026-08-18,633.5,713.955876221912,634.9636038981839,STOP,-4.449472096530915,0.6208702766395342
ASTOR,2026-08-17,339.5,2026-08-18,320.5,365.20788285345367,322.71180853368253,STOP,-5.596465390279826,0.6277771443557708
GRSEL,2026-08-14,348.0,2026-08-19,328.5,368.77542964067374,336.29779542094167,STOP,-5.603448275862066,0.6578823548236625
TUPRS,2026-08-17,368.75,2026-08-19,393.759012682051,393.759012682051,355.3468510097967,HEDEF,6.782105134115524,0.6703335773857946
ODINE,2026-08-17,3010.0,2026-08-19,2545.0,3458.723251755991,2779.175979774975,STOP,-15.4485049833887,0.646996490209518
IEYHO,2026-08-12,179.0,2026-08-20,186.7757834151234,186.7757834151234,175.29878089065048,HEDEF,4.344013081074527,0.8134292123713273
PASEU,2026-08-14,169.0,2026-08-20,192.21394254208204,192.21394254208204,155.1243418052115,HEDEF,13.736060675788186,0.7296661090517345
TKFEN,2026-08-14,236.0,2026-08-21,205.8999938964844,272.9998020412009,224.26147224490904,STOP,-12.75423987437103,0.6745772900395293
GENIL,2026-08-14,10.93000030517578,2026-08-20,11.828197454022307,11.828197454022307,10.351987465657654,HEDEF,8.217722998792553,0.6559256772331648
DOAS,2026-08-14,171.1999969482422,2026-08-20,177.90615875406468,177.90615875406468,167.09845538645257,HEDEF,3.917150657339041,0.5618713843389593
EFOR,2026-08-17,18.200000762939453,2026-08-20,20.586850180412,20.586850180412,16.913786441957914,HEDEF,13.114556689101198,0.6728307897458617
ESEN,2026-08-18,3.490000009536743,2026-08-20,3.6794239459984497,3.6794239459984497,3.382107980902416,HEDEF,5.427619941091355,0.5659579766141948
ODINE,2026-08-19,2545.0,2026-08-20,2291.0,3150.897699842,2301.689737697522,STOP,-9.980353634577598,0.807799817029221
YKBNK,2026-08-12,35.70000076293945,2026-08-24,36.52000045776367,37.68429739456494,34.4244252370751,ZAMAN_ASIMI,2.29691786358579,0.5955208388954394
ENJSA,2026-08-12,107.0,2026-08-24,110.5999984741211,112.86422022164354,103.20250629955224,ZAMAN_ASIMI,3.364484555253356,0.5808128242357198
GESAN,2026-08-14,84.5,2026-08-24,88.6500015258789,90.32258865033738,80.74529894238444,ZAMAN_ASIMI,4.911244409324156,0.59115878444282
BRSAN,2026-08-19,679.0,2026-08-24,734.7707730625706,734.7707730625706,649.3373955485433,HEDEF,8.213663190363851,0.6451406389402315
TUPRS,2026-08-19,395.5,2026-08-25,373.75,431.6073487333358,381.4743137913866,STOP,-5.499367888748418,0.640274645032355
PASEU,2026-08-21,202.3000030517578,2026-08-25,227.10723379737868,227.10723379737868,187.83191397146555,HEDEF,12.262595339296167,0.7191520919424409
AKBNK,2026-08-19,70.30000305175781,2026-08-26,74.00056485069314,74.00056485069314,68.13681913234038,HEDEF,5.2639568112263335,0.6046535807370563
ANSGR,2026-08-18,28.100000381469727,2026-08-27,27.18000030517578,29.33224795763381,27.287973064487204,STOP,-3.2740215793755967,0.5563278047000992
PASEU,2026-08-25,232.0,2026-08-28,262.593864913486,262.593864913486,216.4439175005685,HEDEF,13.187010738571535,0.7130241261960953
EUPWR,2026-08-26,99.5,2026-08-28,106.56449848175048,106.56449848175048,95.30409221994242,HEDEF,7.099998474121105,0.6953716871113951
IEYHO,2026-08-21,186.5,2026-08-31,201.29090291232785,201.29090291232785,183.15976317859392,HEDEF,7.930779041462643,0.7787477632984243
TKFEN,2026-08-21,205.8999938964844,2026-09-01,214.3000030517578,234.412754356475,193.4446624582429,ZAMAN_ASIMI,4.079654883086836,0.6064838796071642
